f0_,date
0.028,2017-01-01T00:00:00
0.0442,2017-01-02T00:00:00
0.0306,2017-01-03T00:00:00
0.0111,2017-01-04T00:00:00
0.0209,2017-01-05T00:00:00
0.0881,2017-01-06T00:00:00
0.0144,2017-01-07T00:00:00
0.0095,2017-01-08T00:00:00
0.0097,2017-01-09T00:00:00
0.0231,2017-01-10T00:00:00
0.0364,2017-01-11T00:00:00
0.0342,2017-01-12T00:00:00
0.0071,2017-01-13T00:00:00
0.0175,2017-01-14T00:00:00
0.007,2017-01-15T00:00:00
0.048,2017-01-16T00:00:00
0.0929,2017-01-17T00:00:00
0.0452,2017-01-18T00:00:00
0.0433,2017-01-19T00:00:00
0.0245,2017-01-20T00:00:00
0.0149,2017-01-21T00:00:00
0.0079,2017-01-22T00:00:00
0.0339,2017-01-23T00:00:00
0.0588,2017-01-24T00:00:00
0.062,2017-01-25T00:00:00
0.0829,2017-01-26T00:00:00
0.073,2017-01-27T00:00:00
0.0951999,2017-01-28T00:00:00
0.0801,2017-01-29T00:00:00
0.1141,2017-01-30T00:00:00
0.1027,2017-01-31T00:00:00
0.1083,2017-02-01T00:00:00
0.023,2017-02-02T00:00:00
0.0136,2017-02-03T00:00:00
0.0416,2017-02-04T00:00:00
0.0313,2017-02-05T00:00:00
0.0107,2017-02-06T00:00:00
0.006,2017-02-07T00:00:00
0.0127,2017-02-08T00:00:00
0.0287,2017-02-09T00:00:00
0.0694,2017-02-10T00:00:00
0.0148,2017-02-11T00:00:00
0.037,2017-02-12T00:00:00
0.0828,2017-02-13T00:00:00
0.0448,2017-02-14T00:00:00
0.0525,2017-02-15T00:00:00
0.0156,2017-02-16T00:00:00
0.0082,2017-02-17T00:00:00
0.0105,2017-02-18T00:00:00
0.0061,2017-02-19T00:00:00
0.005,2017-02-20T00:00:00
0.0081,2017-02-21T00:00:00
0.006,2017-02-22T00:00:00
0.0154,2017-02-23T00:00:00
0.0702,2017-02-24T00:00:00
0.0439,2017-02-25T00:00:00
0.0246,2017-02-26T00:00:00
0.0201,2017-02-27T00:00:00
0.0417,2017-02-28T00:00:00
0.0734,2017-03-01T00:00:00
0.072,2017-03-02T00:00:00
0.0467,2017-03-03T00:00:00
0.0366,2017-03-04T00:00:00
0.0391,2017-03-05T00:00:00
0.0395,2017-03-06T00:00:00
0.0249,2017-03-07T00:00:00
0.0427,2017-03-08T00:00:00
0.0425,2017-03-09T00:00:00
0.0337,2017-03-10T00:00:00
0.0305,2017-03-11T00:00:00
0.0298,2017-03-12T00:00:00
0.0379,2017-03-13T00:00:00
0.0447,2017-03-14T00:00:00
0.0416,2017-03-15T00:00:00
0.015,2017-03-16T00:00:00
0.0428,2017-03-17T00:00:00
0.0155,2017-03-18T00:00:00
0.0175,2017-03-19T00:00:00
0.0186,2017-03-20T00:00:00
0.0122,2017-03-21T00:00:00
0.0174,2017-03-22T00:00:00
0.0177,2017-03-23T00:00:00
0.0108,2017-03-24T00:00:00
0.016,2017-03-25T00:00:00
0.02,2017-03-26T00:00:00
0.0079,2017-03-27T00:00:00
0.0366,2017-03-28T00:00:00
0.0292,2017-03-29T00:00:00
0.0157,2017-03-30T00:00:00
0.0235,2017-03-31T00:00:00
0.0246,2017-04-01T00:00:00
0.0185,2017-04-02T00:00:00
0.0374,2017-04-03T00:00:00
0.0301,2017-04-04T00:00:00
0.0534,2017-04-05T00:00:00
0.0312,2017-04-06T00:00:00
0.013,2017-04-07T00:00:00
0.0091,2017-04-08T00:00:00
0.0169,2017-04-09T00:00:00
0.0161,2017-04-10T00:00:00
0.0208,2017-04-11T00:00:00
0.0098,2017-04-12T00:00:00
0.0104,2017-04-13T00:00:00
0.0083,2017-04-14T00:00:00
0.0292,2017-04-15T00:00:00
0.013,2017-04-16T00:00:00
0.0111,2017-04-17T00:00:00
0.0315,2017-04-18T00:00:00
0.0196,2017-04-19T00:00:00
0.0133,2017-04-20T00:00:00
0.0241,2017-04-21T00:00:00
0.0187,2017-04-22T00:00:00
0.0032,2017-04-23T00:00:00
0.0071,2017-04-24T00:00:00
0.0049,2017-04-25T00:00:00
0.0157,2017-04-26T00:00:00
0.006,2017-04-27T00:00:00
0.0078,2017-04-28T00:00:00
0.0157,2017-04-29T00:00:00
0.0175,2017-04-30T00:00:00
0.0222,2017-05-01T00:00:00
0.0437,2017-05-02T00:00:00
0.0507,2017-05-03T00:00:00
0.048,2017-05-04T00:00:00
0.0374,2017-05-05T00:00:00
0.0332,2017-05-06T00:00:00
0.0427,2017-05-07T00:00:00
0.0449,2017-05-08T00:00:00
0.0207,2017-05-09T00:00:00
0.0086,2017-05-10T00:00:00
0.0075,2017-05-11T00:00:00
0.0038,2017-05-12T00:00:00
0.0044,2017-05-13T00:00:00
0.0067,2017-05-14T00:00:00
0.0078,2017-05-15T00:00:00
0.0066,2017-05-16T00:00:00
0.0074,2017-05-17T00:00:00
0.0308,2017-05-18T00:00:00
0.0165,2017-05-19T00:00:00
0.0172,2017-05-20T00:00:00
0.0114,2017-05-21T00:00:00
0.0288,2017-05-22T00:00:00
0.0226,2017-05-23T00:00:00
0.0192,2017-05-24T00:00:00
0.0099,2017-05-25T00:00:00
0.0172,2017-05-26T00:00:00
0.0091,2017-05-27T00:00:00
0.0085,2017-05-28T00:00:00
0.0093,2017-05-29T00:00:00
0.0085,2017-05-30T00:00:00
0.0101,2017-05-31T00:00:00
0.0098,2017-06-01T00:00:00
0.0125,2017-06-02T00:00:00
0.0124,2017-06-03T00:00:00
0.0073,2017-06-04T00:00:00
0.0141,2017-06-05T00:00:00
0.0057,2017-06-14T00:00:00
0.0142,2017-06-15T00:00:00
0.0107,2017-06-16T00:00:00
0.0144,2017-06-17T00:00:00
0.0146,2017-06-18T00:00:00
0.0356,2017-06-19T00:00:00
0.0263,2017-06-20T00:00:00
0.0146,2017-06-21T00:00:00
0.0183,2017-06-22T00:00:00
0.0182,2017-06-23T00:00:00
0.0101,2017-06-24T00:00:00
0.0115,2017-06-25T00:00:00
0.0075,2017-06-26T00:00:00
0.007,2017-06-27T00:00:00
0.0109,2017-06-28T00:00:00
0.0165,2017-06-29T00:00:00
0.0142,2017-06-30T00:00:00
0.0079,2017-07-01T00:00:00
0.01,2017-07-02T00:00:00
0.0161,2017-07-03T00:00:00
0.0121,2017-07-04T00:00:00
0.01,2017-07-05T00:00:00
0.0111,2017-07-06T00:00:00
0.0164,2017-07-07T00:00:00
0.0168,2017-07-08T00:00:00
0.013,2017-07-09T00:00:00
0.0194,2017-07-10T00:00:00
0.017,2017-07-11T00:00:00
0.0155,2017-07-12T00:00:00
0.0194,2017-07-13T00:00:00
0.019,2017-07-14T00:00:00
0.0151,2017-07-15T00:00:00
0.0138,2017-07-16T00:00:00
0.0333,2017-07-17T00:00:00
0.0124,2017-07-18T00:00:00
0.0142,2017-07-19T00:00:00
0.0133,2017-07-20T00:00:00
0.0149,2017-07-21T00:00:00
0.0162,2017-07-22T00:00:00
0.0164,2017-07-23T00:00:00
0.0184,2017-07-24T00:00:00
0.0131,2017-07-25T00:00:00
0.0116,2017-07-26T00:00:00
0.0145,2017-07-27T00:00:00
0.0222,2017-07-28T00:00:00
0.013,2017-07-29T00:00:00
0.0126,2017-07-30T00:00:00
0.0145,2017-07-31T00:00:00
0.0209,2017-08-01T00:00:00
0.0173,2017-08-02T00:00:00
0.0217,2017-08-03T00:00:00
0.0249,2017-08-04T00:00:00
0.0151,2017-08-05T00:00:00
0.0112,2017-08-06T00:00:00
0.0109,2017-08-07T00:00:00
0.0141,2017-08-08T00:00:00
0.0133,2017-08-09T00:00:00
0.0106,2017-08-10T00:00:00
0.017,2017-08-11T00:00:00
0.0138,2017-08-12T00:00:00
0.0114,2017-08-13T00:00:00
0.01,2017-08-14T00:00:00
0.0076,2017-08-15T00:00:00
0.0191,2017-08-16T00:00:00
0.0128,2017-08-17T00:00:00
0.0116,2017-08-18T00:00:00
0.0135,2017-08-19T00:00:00
0.0086,2017-08-20T00:00:00
0.011,2017-08-21T00:00:00
0.0125,2017-08-22T00:00:00
0.0168,2017-08-23T00:00:00
0.0183,2017-08-24T00:00:00
0.0223,2017-08-25T00:00:00
0.0222,2017-08-26T00:00:00
0.012,2017-08-27T00:00:00
0.0254,2017-08-28T00:00:00
0.0424,2017-08-29T00:00:00
0.0202,2017-08-30T00:00:00
0.0279,2017-08-31T00:00:00
0.0259,2017-09-01T00:00:00
0.0186,2017-09-02T00:00:00
0.0143,2017-09-03T00:00:00
0.0102,2017-09-04T00:00:00
0.0154,2017-09-05T00:00:00
0.0119,2017-09-06T00:00:00
0.0084,2017-09-07T00:00:00
0.0102,2017-09-08T00:00:00
0.0115,2017-09-09T00:00:00
0.0156,2017-09-10T00:00:00
0.031,2017-09-11T00:00:00
0.0243,2017-09-12T00:00:00
0.0127,2017-09-13T00:00:00
0.0097,2017-09-14T00:00:00
0.0118,2017-09-15T00:00:00
0.0173,2017-09-16T00:00:00
