f0_,date
127.0,2018-01-01T00:00:00
81.5,2018-01-02T00:00:00
93.6,2018-01-03T00:00:00
81.4,2018-01-04T00:00:00
28.7,2018-01-05T00:00:00
20.1,2018-01-06T00:00:00
33.9,2018-01-07T00:00:00
21.8,2018-01-08T00:00:00
20.2,2018-01-09T00:00:00
46.2,2018-01-10T00:00:00
15.4,2018-01-11T00:00:00
29.0,2018-01-12T00:00:00
19.5,2018-01-13T00:00:00
50.1,2018-01-16T00:00:00
39.2,2018-01-17T00:00:00
33.0,2018-01-18T00:00:00
26.7,2018-01-19T00:00:00
32.0,2018-01-20T00:00:00
37.6,2018-01-21T00:00:00
30.5,2018-01-22T00:00:00
20.3,2018-01-23T00:00:00
46.0,2018-01-24T00:00:00
15.3,2018-01-25T00:00:00
23.8,2018-01-26T00:00:00
27.9,2018-01-27T00:00:00
42.1,2018-01-28T00:00:00
31.7,2018-01-29T00:00:00
42.8,2018-01-30T00:00:00
52.6,2018-01-31T00:00:00
57.5,2018-02-01T00:00:00
52.9,2018-02-02T00:00:00
54.7,2018-02-03T00:00:00
47.7,2018-02-04T00:00:00
47.1,2018-02-05T00:00:00
53.7,2018-02-06T00:00:00
39.3,2018-02-07T00:00:00
41.3,2018-02-08T00:00:00
36.6,2018-02-09T00:00:00
36.3,2018-02-10T00:00:00
18.3,2018-02-11T00:00:00
14.8,2018-02-12T00:00:00
16.7,2018-02-13T00:00:00
15.6,2018-02-14T00:00:00
11.0,2018-02-15T00:00:00
20.2,2018-02-16T00:00:00
25.8,2018-02-17T00:00:00
21.6,2018-02-18T00:00:00
13.0,2018-02-19T00:00:00
11.1,2018-02-20T00:00:00
19.1,2018-02-21T00:00:00
15.0,2018-02-22T00:00:00
14.7,2018-02-23T00:00:00
17.9,2018-02-24T00:00:00
17.3,2018-02-25T00:00:00
15.4,2018-02-26T00:00:00
16.2,2018-02-27T00:00:00
18.8,2018-02-28T00:00:00
10.6,2018-03-01T00:00:00
6.3,2018-03-02T00:00:00
7.7,2018-03-03T00:00:00
10.7,2018-03-04T00:00:00
11.0,2018-03-05T00:00:00
13.3,2018-03-06T00:00:00
19.2,2018-03-07T00:00:00
11.6,2018-03-08T00:00:00
18.8,2018-03-09T00:00:00
12.8,2018-03-10T00:00:00
15.8,2018-03-11T00:00:00
15.1,2018-03-12T00:00:00
8.6,2018-03-13T00:00:00
10.3,2018-03-14T00:00:00
9.5,2018-03-15T00:00:00
13.2,2018-03-16T00:00:00
14.4,2018-03-17T00:00:00
9.7,2018-03-18T00:00:00
9.0,2018-03-19T00:00:00
19.6,2018-03-20T00:00:00
11.8,2018-03-21T00:00:00
16.4,2018-03-22T00:00:00
7.6,2018-03-23T00:00:00
11.9,2018-03-24T00:00:00
6.6,2018-03-25T00:00:00
9.8,2018-03-26T00:00:00
13.5,2018-03-27T00:00:00
17.0,2018-03-28T00:00:00
18.4,2018-03-29T00:00:00
17.8,2018-03-30T00:00:00
22.6,2018-03-31T00:00:00
14.5,2018-04-01T00:00:00
13.6,2018-04-02T00:00:00
11.7,2018-04-03T00:00:00
15.6,2018-04-04T00:00:00
13.4,2018-04-05T00:00:00
13.1,2018-04-06T00:00:00
14.5,2018-04-07T00:00:00
10.7,2018-04-08T00:00:00
18.5,2018-04-09T00:00:00
13.3,2018-04-10T00:00:00
10.5,2018-04-11T00:00:00
6.7,2018-04-12T00:00:00
10.1,2018-04-13T00:00:00
14.1,2018-04-14T00:00:00
17.8,2018-04-15T00:00:00
10.9,2018-04-16T00:00:00
6.8,2018-04-17T00:00:00
12.1,2018-04-18T00:00:00
7.5,2018-04-19T00:00:00
14.0,2018-04-20T00:00:00
16.2,2018-04-21T00:00:00
20.3,2018-04-22T00:00:00
20.1,2018-04-23T00:00:00
19.0,2018-04-24T00:00:00
28.7,2018-04-25T00:00:00
19.1,2018-04-26T00:00:00
10.9,2018-04-27T00:00:00
12.4,2018-04-28T00:00:00
13.9,2018-04-29T00:00:00
13.5,2018-04-30T00:00:00
