obs,date
59.1,2019-01-01T00:00:00
45.0,2019-01-02T00:00:00
37.9,2019-01-03T00:00:00
39.5,2019-01-04T00:00:00
22.2,2019-01-05T00:00:00
20.1,2019-01-06T00:00:00
15.2,2019-01-07T00:00:00
23.9,2019-01-08T00:00:00
27.6,2019-01-09T00:00:00
22.1,2019-01-10T00:00:00
27.1,2019-01-11T00:00:00
24.0,2019-01-12T00:00:00
13.1,2019-01-13T00:00:00
26.3,2019-01-14T00:00:00
14.6,2019-01-15T00:00:00
16.9,2019-01-16T00:00:00
17.6,2019-01-17T00:00:00
15.3,2019-01-18T00:00:00
12.9,2019-01-19T00:00:00
25.2,2019-01-22T00:00:00
35.5,2019-01-23T00:00:00
32.7,2019-01-24T00:00:00
38.2,2019-01-25T00:00:00
41.5,2019-01-26T00:00:00
63.6,2019-01-28T00:00:00
52.6,2019-01-29T00:00:00
51.8,2019-01-30T00:00:00
41.7,2019-01-31T00:00:00
21.3,2019-02-01T00:00:00
11.5,2019-02-02T00:00:00
7.4,2019-02-03T00:00:00
12.1,2019-02-04T00:00:00
12.7,2019-02-05T00:00:00
29.7,2019-02-06T00:00:00
22.1,2019-02-07T00:00:00
16.6,2019-02-08T00:00:00
10.9,2019-02-09T00:00:00
21.3,2019-02-10T00:00:00
12.9,2019-02-11T00:00:00
23.3,2019-02-12T00:00:00
7.8,2019-02-13T00:00:00
8.8,2019-02-14T00:00:00
8.8,2019-02-15T00:00:00
11.4,2019-02-16T00:00:00
20.8,2019-02-17T00:00:00
31.0,2019-02-18T00:00:00
24.9,2019-02-19T00:00:00
26.2,2019-02-20T00:00:00
9.0,2019-02-21T00:00:00
22.4,2019-02-22T00:00:00
32.1,2019-02-23T00:00:00
25.9,2019-02-24T00:00:00
13.5,2019-02-25T00:00:00
15.3,2019-02-26T00:00:00
12.7,2019-02-27T00:00:00
13.2,2019-02-28T00:00:00
25.3,2019-03-01T00:00:00
25.3,2019-03-02T00:00:00
8.1,2019-03-03T00:00:00
6.4,2019-03-04T00:00:00
22.2,2019-03-05T00:00:00
8.3,2019-03-06T00:00:00
11.1,2019-03-07T00:00:00
8.3,2019-03-08T00:00:00
11.5,2019-03-09T00:00:00
10.1,2019-03-10T00:00:00
10.8,2019-03-11T00:00:00
25.4,2019-03-12T00:00:00
12.5,2019-03-13T00:00:00
20.8,2019-03-14T00:00:00
14.4,2019-03-15T00:00:00
14.9,2019-03-16T00:00:00
14.6,2019-03-17T00:00:00
15.8,2019-03-18T00:00:00
21.5,2019-03-19T00:00:00
11.7,2019-03-20T00:00:00
13.9,2019-03-21T00:00:00
13.0,2019-03-22T00:00:00
18.7,2019-03-23T00:00:00
28.4,2019-03-24T00:00:00
19.0,2019-03-25T00:00:00
17.3,2019-03-26T00:00:00
13.8,2019-03-27T00:00:00
14.3,2019-03-28T00:00:00
9.7,2019-03-29T00:00:00
24.1,2019-03-30T00:00:00
14.4,2019-03-31T00:00:00
14.3,2019-04-01T00:00:00
22.6,2019-04-02T00:00:00
12.6,2019-04-03T00:00:00
17.4,2019-04-04T00:00:00
12.7,2019-04-05T00:00:00
12.0,2019-04-06T00:00:00
15.5,2019-04-07T00:00:00
20.3,2019-04-08T00:00:00
12.4,2019-04-09T00:00:00
13.0,2019-04-10T00:00:00
15.4,2019-04-11T00:00:00
12.8,2019-06-10T00:00:00
22.1,2019-06-11T00:00:00
22.9,2019-06-12T00:00:00
20.4,2019-06-13T00:00:00
16.3,2019-06-14T00:00:00
16.7,2019-06-15T00:00:00
17.9,2019-06-16T00:00:00
11.5,2019-06-20T00:00:00
8.8,2019-06-21T00:00:00
12.3,2019-06-24T00:00:00
17.1,2019-06-25T00:00:00
12.3,2019-06-26T00:00:00
14.2,2019-06-27T00:00:00
14.3,2019-06-28T00:00:00
11.8,2019-06-29T00:00:00
14.1,2019-06-30T00:00:00
15.7,2019-07-01T00:00:00
16.4,2019-07-02T00:00:00
14.5,2019-07-03T00:00:00
115.7,2019-07-04T00:00:00
25.2,2019-07-05T00:00:00
22.4,2019-07-06T00:00:00
16.1,2019-07-07T00:00:00
15.5,2019-07-08T00:00:00
10.0,2019-07-09T00:00:00
14.9,2019-07-10T00:00:00
20.3,2019-07-11T00:00:00
16.6,2019-07-12T00:00:00
18.2,2019-07-22T00:00:00
30.9,2019-07-23T00:00:00
22.5,2019-07-24T00:00:00
26.7,2019-07-25T00:00:00
21.5,2019-07-26T00:00:00
22.6,2019-07-27T00:00:00
29.1,2019-07-28T00:00:00
17.8,2019-07-29T00:00:00
21.3,2019-07-30T00:00:00
24.9,2019-07-31T00:00:00
20.7,2019-08-02T00:00:00
24.1,2019-08-03T00:00:00
15.9,2019-08-04T00:00:00
17.6,2019-08-05T00:00:00
26.3,2019-08-06T00:00:00
29.2,2019-08-07T00:00:00
19.1,2019-08-08T00:00:00
12.7,2019-08-09T00:00:00
21.0,2019-08-10T00:00:00
12.5,2019-08-11T00:00:00
15.8,2019-08-12T00:00:00
17.3,2019-08-13T00:00:00
23.4,2019-08-14T00:00:00
25.8,2019-08-15T00:00:00
26.2,2019-08-16T00:00:00
41.0,2019-08-17T00:00:00
16.7,2019-08-18T00:00:00
16.7,2019-08-19T00:00:00
18.8,2019-08-20T00:00:00
36.1,2019-08-21T00:00:00
19.7,2019-08-22T00:00:00
30.7,2019-08-23T00:00:00
24.2,2019-08-24T00:00:00
22.8,2019-08-25T00:00:00
30.1,2019-08-26T00:00:00
27.4,2019-08-27T00:00:00
21.7,2019-08-28T00:00:00
20.7,2019-08-29T00:00:00
18.1,2019-08-30T00:00:00
22.7,2019-08-31T00:00:00
16.9,2019-09-01T00:00:00
20.8,2019-09-02T00:00:00
20.3,2019-09-03T00:00:00
23.2,2019-09-04T00:00:00
34.3,2019-09-05T00:00:00
20.2,2019-09-06T00:00:00
18.2,2019-09-07T00:00:00
13.1,2019-09-08T00:00:00
12.4,2019-09-09T00:00:00
33.2,2019-10-01T00:00:00
15.2,2019-10-02T00:00:00
17.3,2019-10-03T00:00:00
36.0,2019-10-04T00:00:00
43.0,2019-10-05T00:00:00
38.4,2019-10-06T00:00:00
37.0,2019-10-07T00:00:00
35.7,2019-10-27T00:00:00
23.5,2019-10-28T00:00:00
23.0,2019-10-30T00:00:00
29.9,2019-10-31T00:00:00
33.5,2019-11-01T00:00:00
31.3,2019-11-02T00:00:00
30.8,2019-11-03T00:00:00
35.1,2019-11-04T00:00:00
33.4,2019-11-05T00:00:00
30.1,2019-11-06T00:00:00
34.1,2019-11-07T00:00:00
39.3,2019-11-08T00:00:00
48.9,2019-11-09T00:00:00
47.8,2019-11-10T00:00:00
32.3,2019-11-11T00:00:00
34.8,2019-11-12T00:00:00
43.0,2019-11-13T00:00:00
46.1,2019-11-14T00:00:00
30.5,2019-11-15T00:00:00
34.8,2019-11-16T00:00:00
33.7,2019-11-17T00:00:00
39.9,2019-11-18T00:00:00
38.6,2019-11-19T00:00:00
19.4,2019-11-20T00:00:00
19.4,2019-11-21T00:00:00
20.5,2019-11-22T00:00:00
21.0,2019-11-23T00:00:00
5.4,2019-11-27T00:00:00
28.0,2019-12-19T00:00:00
36.0,2019-12-20T00:00:00
16.0,2019-12-21T00:00:00
19.0,2019-12-22T00:00:00
9.0,2019-12-23T00:00:00
33.0,2019-12-24T00:00:00
24.0,2019-12-25T00:00:00
21.0,2019-12-26T00:00:00
30.0,2019-12-27T00:00:00
43.0,2019-12-28T00:00:00
18.0,2019-12-29T00:00:00
33.0,2019-12-30T00:00:00
46.0,2019-12-31T00:00:00
