date,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_ws_93612,max_wss_93612,max_wd_93612,max_wds_93612,min_wd_93612,min_wds_93612,nox,pm25,ozone,aqi
2013-06-18T00:00:00,98,1001.23,997.234,4904985.60000049,0.79,0.0,22.7,6.705,6.705,318,318.0,293,293.0,0.008,13.0,0.0529999993741512,53
2013-06-17T00:00:00,73,1002.57,998.567,4957251.8400002234,0.82,0.0,23.6,5.811,5.811,356,359.0,292,293.0,0.01,12.0,0.0559999980032444,54
2013-01-10T00:00:00,99,1006.57,1002.57,1764990.719999962,0.27,0.0,9.9,5.364,5.811,354,351.0,281,281.0,0.028,8.0,0.0389999970793724,36
2013-05-22T00:00:00,82,999.9,995.9,4852719.360000018,0.77,0.0,20.6,5.811,5.811,313,313.0,288,288.0,0.008,12.0,0.0609999969601631,71
2013-06-23T00:00:00,89,994.567,993.234,3473694.720000051,0.73,0.0,22.7,5.811,5.811,322,325.0,296,296.0,0.007,15.0,0.0399999991059303,57
2013-02-23T00:00:00,100,1010.57,1005.23,2175079.679999935,0.38,0.0,10.0,5.811,5.811,325,356.0,11,6.0,0.027,29.0,0.0459999963641167,87
2013-04-30T00:00:00,85,995.9,993.234,4362220.79999971,0.85,0.0,17.5,5.364,5.811,348,349.0,272,268.0,0.013,16.0,0.0669999718666077,90
2013-06-19T00:00:00,93,1001.23,997.234,4961272.3200000878,0.74,0.0,22.0,5.811,5.811,318,319.0,293,294.0,0.005,14.0,0.0509999990463257,55
2013-01-26T00:00:00,100,1002.57,1001.23,18147.999999999971,0.1,0.0,11.2,5.364,5.811,346,345.0,292,290.0,0.021,43.0,0.0369999967515469,119
2013-06-21T00:00:00,81,998.567,994.567,4945190.4000002788,0.8,0.0,22.5,5.811,5.811,318,318.0,258,257.0,0.014,10.0,0.0579999983310699,61
2013-05-27T00:00:00,97,1003.9,999.9,3646575.3600002574,0.72,0.0,20.0,5.811,5.811,319,319.0,293,294.0,0.005,8.0,0.0469999983906746,44
2013-09-17T00:00:00,87,994.567,991.901,3525960.960000128,0.68,0.0,24.9,5.364,5.811,322,322.0,293,293.0,0.013,12.0,0.0549999997019768,51
2013-07-23T00:00:00,80,999.9,997.234,3706882.5599998645,0.77,0.0,27.6,4.917,4.917,339,319.0,178,1.0,0.02,30.0,0.0929999947547913,201
2013-05-18T00:00:00,90,1005.23,1001.23,4792412.1600000849,0.74,0.0,20.2,4.47,4.917,330,330.0,271,271.0,0.009,16.0,0.0689999461174011,97
2013-09-26T00:00:00,100,998.567,993.234,3389264.6399999727,0.55,0.0,20.2,4.917,4.917,328,356.0,35,153.0,0.034,9.0,0.040999997407198,38
2013-10-03T00:00:00,88,1001.23,997.234,3144015.3599999482,0.58,0.0,20.1,4.47,4.917,341,355.0,103,118.0,0.032,12.0,0.0439999997615814,50
2013-05-13T00:00:00,68,1002.57,997.234,4631592.9599997988,0.8,0.0,22.3,4.917,4.917,329,346.0,52,57.0,0.017,16.0,0.103999972343445,200
2013-07-31T00:00:00,86,1002.57,997.234,4406446.0799998,0.8,0.0,28.0,4.917,4.917,311,311.0,189,180.0,0.022,51.0,0.0769999623298645,139
2013-06-25T00:00:00,100,999.9,997.234,4563244.8000001432,0.75,0.0,23.2,4.47,4.917,357,358.0,146,139.0,0.015,17.0,0.0559999980032444,61
2013-05-19T00:00:00,91,1003.9,998.567,4792412.1600000905,0.76,0.0,20.2,4.917,4.917,333,333.0,269,266.0,0.008,13.0,0.0659999847412109,87
2013-05-14T00:00:00,85,999.9,997.234,4603449.59999996,0.77,0.0,22.4,4.917,4.917,343,344.0,202,187.0,0.019,20.0,0.0699999928474426,100
2013-05-05T00:00:00,70,997.234,989.234,3517919.9999999595,0.72,0.0,20.8,4.47,4.917,301,300.0,124,124.0,0.004,25.0,0.0589999966323376,78
2013-08-17T00:00:00,74,997.234,993.234,4221503.9999996694,0.79,0.0,26.4,4.917,4.917,328,330.0,144,141.0,0.016,14.0,0.0819999575614929,139
2013-05-17T00:00:00,98,1002.57,999.9,4687879.680000159,0.73,0.0,20.6,4.917,4.917,316,316.0,278,279.0,0.01,12.0,0.056999996304512,58
2013-09-15T00:00:00,91,993.234,990.568,3513899.5200000834,0.69,0.0,25.4,4.47,4.917,353,352.0,145,135.0,0.008,19.0,0.0609999969601631,71
2013-05-12T00:00:00,88,1005.23,999.9,4627572.4800000293,0.82,0.0,22.0,4.917,4.917,317,320.0,88,97.0,0.011,29.0,0.10099995136261,200
2013-09-25T00:00:00,99,998.567,991.901,3413387.5199999711,0.57,0.0,22.1,4.917,4.917,314,314.0,293,293.0,0.014,15.0,0.0439999997615814,57
2013-09-20T00:00:00,95,994.567,990.568,3457612.8000001903,0.67,0.0,23.8,4.47,4.917,350,320.0,56,47.0,0.023,25.0,0.0869999527931213,201
2013-09-02T00:00:00,79,997.234,993.234,3747087.360000209,0.68,0.0,27.9,4.917,4.917,320,320.0,278,274.0,0.004,20.0,0.0539999976754189,68
2013-07-05T00:00:00,64,993.234,989.234,4756227.8399999924,0.86,0.0,27.0,4.47,4.917,343,343.0,273,274.0,0.008,19.0,0.0649999976158142,84
2013-08-05T00:00:00,88,999.9,995.9,4269749.7599996887,0.75,0.0,26.1,3.576,4.023,318,318.0,208,204.0,0.015,23.0,0.0769999623298645,122
2013-06-02T00:00:00,86,991.901,987.901,4832616.9600002216,0.81,0.0,23.4,4.023,4.023,321,321.0,8,10.0,0.017,23.0,0.103999972343445,200
2013-07-12T00:00:00,85,998.567,994.567,4856739.8400001209,0.8,0.0,26.3,4.023,4.023,326,318.0,119,121.0,0.018,22.0,0.0829999446868896,143
2013-07-30T00:00:00,95,1002.57,998.567,4161196.799999733,0.75,0.0,28.0,4.023,4.023,305,305.0,260,257.0,0.016,65.0,0.0859999656677246,201
2013-07-25T00:00:00,63,998.567,995.9,4040582.39999999,0.74,0.0,28.3,4.023,4.023,314,314.0,188,183.0,0.028,16.0,0.0789999961853027,129
2013-08-09T00:00:00,100,998.567,995.9,4394384.6399996728,0.73,0.0,25.5,4.023,4.023,342,343.0,223,221.0,0.013,22.0,0.062999963760376,77
2013-08-08T00:00:00,100,999.9,995.9,4414487.0399996843,0.72,0.0,25.6,4.023,4.023,318,317.0,174,175.0,0.013,16.0,0.056999996304512,59
2013-07-26T00:00:00,68,1002.57,998.567,4394384.63999969,0.78,0.0,28.3,4.023,4.023,328,330.0,139,134.0,0.024,21.0,0.090999960899353,201
2013-07-29T00:00:00,86,999.9,994.567,4494896.6399996607,0.77,0.0,28.2,4.023,4.023,320,320.0,156,155.0,0.019,35.0,0.0769999623298645,122
2013-01-01T00:00:00,100,1011.9,1009.23,1547884.7999999949,0.24,0.0,10.4,4.023,4.023,348,349.0,36,27.0,0.039,71.0,0.0379999987781048,159
2013-07-17T00:00:00,100,1003.9,999.9,4792412.1600002376,0.76,0.0,26.4,3.576,4.023,318,318.0,192,187.0,0.011,17.0,0.0689999461174011,97
2013-05-06T00:00:00,80,1001.23,997.234,748563.12000000756,0.71,0.0,19.4,4.023,4.023,343,344.0,22,26.0,0.01,11.0,0.056999996304512,58
2013-10-02T00:00:00,98,999.9,997.234,3160097.2799999416,0.58,0.0,20.4,3.576,4.023,323,328.0,280,270.0,0.033,15.0,0.0559999980032444,57
2013-04-25T00:00:00,95,1005.23,997.234,4229544.959999687,0.64,0.0,16.5,3.576,4.023,318,357.0,0,35.0,0.021,18.0,0.0689999461174011,97
2013-09-01T00:00:00,75,997.234,993.234,3558124.8000002941,0.71,0.0,26.4,4.023,4.023,332,330.0,228,227.0,0.01,15.0,0.0589999966323376,64
2013-05-31T00:00:00,78,999.9,997.234,4884883.2000000561,0.74,0.0,21.8,4.023,4.023,321,324.0,36,41.0,0.02,16.0,0.0789999961853027,129
2013-08-10T00:00:00,98,1001.23,997.234,4313975.0399997383,0.75,0.0,25.6,4.023,4.023,323,323.0,271,265.0,0.011,23.0,0.061999998986721,74
2013-09-03T00:00:00,88,998.567,994.567,3316895.9999999837,0.68,0.0,27.3,4.023,4.023,326,325.0,291,294.0,0.008,15.0,0.0519999973475933,57
2013-09-05T00:00:00,85,998.567,995.9,3722964.4800001848,0.7,0.0,26.4,4.023,4.023,324,324.0,291,291.0,0.012,14.0,0.0699999928474426,100
2013-04-28T00:00:00,99,1002.57,995.9,4442630.3999996306,0.81,0.0,17.2,4.023,4.023,349,343.0,28,35.0,0.02,24.0,0.0819999575614929,139
2013-08-26T00:00:00,93,998.567,993.234,4092848.63999985,0.7,0.0,26.2,3.576,4.023,315,315.0,254,252.0,0.01,18.0,0.0639999508857727,80
2013-08-27T00:00:00,80,995.9,990.568,3201328.1399999768,0.72,0.0,26.2,4.023,4.023,322,323.0,170,171.0,0.025,13.0,0.0739999413490295,111
2013-03-06T00:00:00,99,1005.23,1001.23,1161918.7199999879,0.33,0.0,13.1,4.023,4.023,328,328.0,118,118.0,0.013,18.0,0.044999998062849,63
2013-08-23T00:00:00,93,995.9,990.568,4173258.2399997562,0.76,0.0,26.5,4.023,4.023,320,319.0,211,211.0,0.018,19.0,0.0649999976158142,84
2013-06-04T00:00:00,77,997.234,993.234,4647674.8799998816,0.81,0.0,23.3,4.023,4.023,316,316.0,295,295.0,0.008,16.0,0.0689999461174011,97
2013-09-04T00:00:00,88,999.9,995.9,3739046.4000001922,0.7,0.0,26.7,3.576,4.023,318,318.0,290,289.0,0.012,19.0,0.0709999799728394,101
2013-09-10T00:00:00,74,994.567,990.568,3433489.9199999962,0.69,0.0,25.7,4.023,4.023,322,322.0,9,14.0,0.04,36.0,0.0799999833106995,132
2013-07-16T00:00:00,93,999.9,994.567,4006275.7000000714,0.77,0.0,26.8,4.023,4.023,318,319.0,272,265.0,0.014,232.0,0.0699999928474426,282
