date,month,year,Season,carryover,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_wss_93720,min_wss_93720,nox,ozone,pm25,pollutant,aqi
2012-07-01T00:00:00,7,2012,1.0,59,91,998.567,994.567,4740145.92000009,0.8,0.8,22.9,7.7,3.1,0.005,0.0419999994337559,11.0,pm25,46
2017-03-17T00:00:00,3,2017,0.0,54,100,1005.9,1001.1,3264629.7599998,0.57,0.57,15.9,2.6,0.0,0.0428,0.0616999939084053,21.4,ozone,73
2012-04-17T00:00:00,4,2012,0.25,84,92,1007.9,1002.57,4064705.2799996557,0.64,0.64,14.5,5.7,0.0,0.021,0.062999963760376,18.0,ozone,77
2012-11-25T00:00:00,11,2012,0.75,152,100,1003.9,999.9,1684581.1200000695,0.29,0.29,14.7,2.6,0.0,0.05,0.0439999997615814,65.0,pm25,156
2016-06-02T00:00:00,6,2016,0.25,201,59,1004.03,1000.97,4527060.4800002482,0.91,0.91,24.6,5.7,1.5,0.0204,0.0920999646186829,17.0,ozone,201
2017-09-21T00:00:00,9,2017,1.0,53,100,998.7,994.434,3296793.6000000411,0.52,0.52,21.1,9.3,1.5,0.012,0.0428000018000603,11.0,pm25,46
2019-12-25T00:00:00,12,2019,0.0,95,87,999.633,991.901,1194082.5599999945,0.23,0.23,13.6,6.7,0.0,0.0353,0.0342999994754791,24.0,pm25,76
2015-05-25T00:00:00,5,2015,0.25,72,80,1001.23,997.234,4655715.839999889,0.76,0.76,18.7,7.2,0.0,0.007,0.062999963760376,17.0,ozone,77
2012-10-20T00:00:00,10,2012,0.75,139,93,998.567,993.234,2601250.5599999605,0.48,0.48,21.2,4.6,0.0,0.029,0.061999998986721,24.0,pm25,76
2015-08-02T00:00:00,8,2015,1.0,90,53,1002.57,997.234,4446650.87999973,0.79,0.79,24.5,6.7,0.0,0.047,0.0699999928474426,33.0,ozone,100
2017-02-20T00:00:00,2,2017,0.0,46,100,1008.3,1002.97,550805.76000000827,0.11,0.11,13.4,9.3,2.1,0.005,0.0388000011444092,11.2,pm25,47
2015-08-05T00:00:00,8,2015,1.0,76,74,1006.57,1001.23,3224424.9600000367,0.57,0.57,23.6,5.7,0.0,0.028,0.0589999966323376,29.0,pm25,87
2012-07-05T00:00:00,7,2012,1.0,201,56,999.9,995.9,4720043.5200000387,0.79,0.79,23.6,6.7,0.0,0.014,0.0729999542236328,19.0,ozone,108
2018-03-05T00:00:00,3,2018,0.0,45,61,1013.23,1007.1,3156076.7999998373,0.43,0.43,10.7,3.6,0.0,0.0405,0.0436000041663647,11.0,pm25,46
2013-10-09T00:00:00,10,2013,0.75,84,90,993.234,987.901,1190062.080000004,0.12,0.3,18.9,7.2,0.0,0.018,0.0399999991059303,20.0,pm25,68
2015-04-21T00:00:00,4,2015,0.25,80,79,998.567,995.9,2918868.479999959,0.58,0.58,16.5,5.7,0.0,0.012,0.056999996304512,16.0,pm25,59
2015-06-16T00:00:00,6,2015,0.25,122,63,1001.23,998.567,5037661.4400001559,0.86,0.86,25.5,4.6,0.0,0.014,0.0789999961853027,27.0,ozone,129
2013-08-07T00:00:00,8,2013,1.0,74,100,1002.57,998.567,4402425.59999963,0.7,0.0,25.8,6.7,1.5,0.008,0.0599999986588955,21.0,pm25,70
2012-02-07T00:00:00,2,2012,0.0,84,65,1005.23,995.9,578949.11999998428,0.18,0.18,10.9,8.2,0.0,0.033,0.0399999991059303,16.0,pm25,59
2019-11-09T00:00:00,11,2019,0.75,137,77,1006.97,1002.43,1941891.8399999531,0.39,0.39,17.2,2.6,0.0,0.0495,0.0747999548912048,48.9,pm25,134
2012-06-26T00:00:00,6,2012,1.0,61,88,1002.57,997.234,4836637.4400001727,0.8,0.8,22.1,6.7,0.0,0.006,0.056999996304512,13.0,ozone,58
2019-09-03T00:00:00,9,2019,1.0,201,52,999.9,995.634,3759148.80000016,0.72,0.72,25.6,6.2,1.5,0.0149,0.073199987411499,20.3,ozone,109
2012-08-02T00:00:00,8,2012,1.0,201,58,1001.23,995.9,4647674.87999983,0.84,0.84,24.8,4.6,0.0,0.026,0.101999998092651,23.0,ozone,200
2017-03-29T00:00:00,3,2017,0.25,52,48,1008.57,1004.83,3646575.3600002034,0.57,0.57,15.3,3.6,0.0,0.0292,0.0623000003397465,13.7,ozone,75
2012-07-12T00:00:00,7,2012,1.0,93,57,995.9,993.234,4048623.3599998159,0.79,0.79,24.8,7.2,0.0,0.045,0.123999953269958,36.0,pm25,102
2016-08-15T00:00:00,8,2016,1.0,200,43,1003.1,999.633,4313975.0399996238,0.81,0.81,25.7,5.7,1.5,0.0194,0.0808999538421631,19.0,ozone,136
2013-05-04T00:00:00,5,2013,0.25,200,77,994.567,986.568,4277790.7199996272,0.76,0.0,21.5,6.2,0.0,0.027,0.0889999866485596,20.0,ozone,201
2016-05-09T00:00:00,5,2016,0.25,55,70,1004.17,1000.3,4100889.6000000909,0.78,0.78,21.0,5.7,1.5,0.0124,0.0608999915421009,6.0,ozone,70
2012-08-08T00:00:00,8,2012,1.0,150,39,1001.23,997.234,4330056.9599996367,0.76,0.76,25.4,6.2,0.0,0.021,0.0979999899864197,26.0,ozone,200
2019-02-15T00:00:00,2,2019,0.0,39,95,1006.7,1001.23,1001099.5199999721,0.22,0.22,11.7,6.2,0.0,0.0112,0.0391000024974346,8.8,pm25,37
2015-06-29T00:00:00,6,2015,1.0,139,62,1002.57,998.567,3558124.8000001316,0.74,0.74,23.6,5.7,0.0,0.009,0.0919999480247498,33.0,ozone,201
2016-06-16T00:00:00,6,2016,0.25,49,68,1008.3,1004.43,4949210.880000283,0.76,0.76,23.3,6.2,0.0,0.0154,0.0529999993741512,8.0,ozone,49
2013-07-05T00:00:00,7,2013,1.0,200,64,993.234,989.234,4756227.8399999924,0.86,0.0,27.0,6.7,1.5,0.008,0.0649999976158142,19.0,ozone,84
2012-09-02T00:00:00,9,2012,1.0,90,86,1001.23,997.234,3956152.3200000781,0.72,0.72,24.4,3.6,0.0,0.021,0.0729999542236328,30.0,ozone,108
2017-03-11T00:00:00,3,2017,0.0,86,100,1007.9,1004.57,3011339.5199999181,0.51,0.51,14.3,4.1,0.0,0.0305,0.0591999962925911,35.9,pm25,102
2012-04-06T00:00:00,4,2012,0.25,45,93,1010.57,1006.57,4048623.3599999328,0.54,0.54,14.0,3.6,0.0,0.044,0.0509999990463257,11.0,ozone,47
2017-05-06T00:00:00,5,2017,0.25,53,47,996.3,990.834,2122813.4400000125,0.37,0.37,20.7,7.2,0.0,0.0332,0.047800000756979,11.7,pm25,49
2018-06-02T00:00:00,6,2018,0.25,64,61,1002.3,997.1,4876842.2400002936,0.85,0.85,21.2,4.6,0.0,0.0192,0.0745999813079834,17.6,ozone,114
2012-11-17T00:00:00,11,2012,0.75,122,100,1003.9,999.9,952853.75999999617,0.24,0.24,15.8,6.2,0.0,0.013,0.0349999964237213,19.0,pm25,66
2013-03-11T00:00:00,3,2013,0.0,87,100,1010.57,1005.23,3204322.5599998431,0.67,0.0,12.8,3.6,0.0,0.062,0.0559999980032444,23.0,pm25,74
2013-10-02T00:00:00,10,2013,0.75,46,98,999.9,997.234,3160097.2799999416,0.58,0.0,20.4,5.7,0.0,0.033,0.0559999980032444,15.0,pm25,57
2018-04-14T00:00:00,4,2018,0.25,46,80,1013.23,1004.7,4161196.7999997581,0.67,0.67,15.8,3.1,0.0,0.0199,0.0652999877929688,14.1,ozone,85
2019-11-20T00:00:00,11,2019,0.75,109,79,991.501,984.568,1073468.1599999766,0.22,0.22,16.9,7.2,0.0,0.0186,0.0298000015318394,19.4,pm25,66
2015-04-20T00:00:00,4,2015,0.25,132,79,998.567,994.567,4020479.9999998286,0.79,0.79,16.6,9.3,0.0,0.016,0.0639999508857727,20.0,ozone,80
2016-05-25T00:00:00,5,2016,0.25,36,70,1007.9,1005.1,4305934.0799998492,0.68,0.68,21.5,6.2,1.5,0.0076,0.0513999909162521,10.0,ozone,48
