max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant
98,7.5,0.0,2017-12-12T00:00:00,0.75,2017,156,0.0291999951004982,65.0,0.1053,pm25
97,7.5,0.0,2017-12-15T00:00:00,0.75,2017,163,0.0399999991059303,78.2,0.1218,pm25
97,9.5,0.0,2017-12-27T00:00:00,0.0,2017,152,0.0396000035107136,56.9,0.0961,pm25
97,10.5,0.0,2017-01-26T00:00:00,0.0,2017,88,0.0331000052392483,29.8,0.0829,pm25
97,10.5,0.0,2017-01-27T00:00:00,0.0,2017,92,0.0383999906480312,31.8,0.073,pm25
97,11.5,0.0,2017-01-06T00:00:00,0.0,2017,94,0.028499998152256,32.4,0.0881,pm25
97,12.0,0.0,2017-01-05T00:00:00,0.0,2017,42,0.035300001502037,10.1,0.0209,pm25
95,12.5,2.1,2017-02-03T00:00:00,0.0,2017,60,0.0373000018298626,16.3,0.0136,pm25
96,12.5,0.0,2017-02-04T00:00:00,0.0,2017,68,0.0439999997615814,20.0,0.0416,pm25
94,13.0,2.6,2017-02-07T00:00:00,0.0,2017,36,0.038600005209446,7.9,0.006,ozone
93,13.0,2.1,2017-01-10T00:00:00,0.0,2017,52,0.0362999998033047,12.5,0.0231,pm25
98,13.5,0.0,2017-02-14T00:00:00,0.0,2017,84,0.0433000028133392,27.7,0.0448,pm25
87,13.5,1.5,2017-02-16T00:00:00,0.0,2017,50,0.0398999936878681,11.9,0.0156,pm25
93,14.0,1.5,2017-02-22T00:00:00,0.0,2017,41,0.0446000024676323,9.8,0.006,pm25
99,14.5,0.0,2017-12-01T00:00:00,0.75,2017,149,0.0418999902904034,54.8,0.0875,pm25
79,15.0,0.0,2017-03-31T00:00:00,0.25,2017,68,0.0503000020980835,20.2,0.0235,pm25
98,15.5,0.0,2017-03-14T00:00:00,0.0,2017,116,0.0751999616622925,18.5,0.0447,ozone
96,15.5,0.0,2017-04-09T00:00:00,0.25,2017,58,0.0571999959647655,14.2,0.0169,ozone
90,16.0,2.6,2017-03-21T00:00:00,0.25,2017,57,0.0441000051796436,14.9,0.0122,pm25
92,16.0,0.0,2017-03-16T00:00:00,0.0,2017,54,0.0413000024855137,13.5,0.015,pm25
99,16.0,0.0,2017-11-19T00:00:00,0.75,2017,95,0.0438000001013279,32.8,0.0407,pm25
99,16.0,0.0,2017-11-28T00:00:00,0.75,2017,99,0.0368999913334846,34.7,0.0504,pm25
96,16.0,0.0,2017-03-18T00:00:00,0.0,2017,85,0.0653999447822571,23.6,0.0155,ozone
82,17.0,0.0,2017-11-09T00:00:00,0.75,2017,36,0.0336000025272369,8.6,0.0163,pm25
98,17.0,0.0,2017-11-11T00:00:00,0.75,2017,93,0.0426999963819981,32.0,0.0532,pm25
82,17.0,0.0,2017-04-28T00:00:00,0.25,2017,70,0.0608999915421009,12.9,0.0078,ozone
84,17.0,0.0,2017-10-17T00:00:00,0.75,2017,105,0.0720999836921692,34.7,0.0558,ozone
94,17.0,0.0,2017-04-26T00:00:00,0.25,2017,50,0.045499999076128,12.0,0.0157,pm25
80,18.0,0.0,2017-10-11T00:00:00,0.75,2017,181,0.0696999430656433,113.8,0.0338,pm25
87,18.0,1.5,2017-11-05T00:00:00,0.75,2017,52,0.0396000035107136,12.5,0.0193,pm25
76,19.0,0.0,2017-09-26T00:00:00,0.75,2017,101,0.0709999799728394,14.0,0.0534,ozone
80,20.0,0.0,2017-09-29T00:00:00,0.75,2017,121,0.0767999887466431,17.6,0.0511,ozone
78,20.0,1.5,2017-09-30T00:00:00,0.75,2017,52,0.04789999127388,12.8,0.0083,pm25
74,23.0,0.0,2017-06-19T00:00:00,0.25,2017,141,0.0823999643325806,25.8,0.0356,ozone
90,25.0,0.0,2017-09-12T00:00:00,1.0,2017,201,0.0895999670028687,29.7,0.0243,ozone
75,26.0,0.0,2017-08-08T00:00:00,1.0,2017,100,0.0699999928474426,23.0,0.0141,ozone
69,26.0,0.0,2017-07-28T00:00:00,1.0,2017,134,0.0803999900817871,22.7,0.0222,ozone
87,26.0,0.0,2017-09-09T00:00:00,1.0,2017,125,0.0778999924659729,20.7,0.0115,ozone
67,26.0,0.0,2017-07-24T00:00:00,1.0,2017,107,0.0726999640464783,19.5,0.0184,ozone
82,28.0,0.0,2017-09-06T00:00:00,1.0,2017,147,0.0840999484062195,20.1,0.0119,ozone
