max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant,CarryOver,classification
89,9.0,0.0,2012-01-19T00:00:00,0.0,2012,151,0.0249999985098839,56.0,0.135,pm25,154,unhealthy
93,10.0,0.0,2012-01-14T00:00:00,0.0,2012,154,0.044999998062849,61.0,0.112,pm25,151,unhealthy
87,10.5,0.0,2012-02-06T00:00:00,0.0,2012,84,0.0379999987781048,28.0,0.077,pm25,59,moderate
97,10.5,0.0,2012-01-03T00:00:00,0.0,2012,161,0.0169999971985817,74.0,0.125,pm25,178,unhealthy
96,11.0,0.0,2012-02-23T00:00:00,0.0,2012,117,0.0559999980032444,42.0,0.08,pm25,129,unhealthy 4 sensitive
95,11.5,0.0,2012-02-10T00:00:00,0.0,2012,107,0.0579999983310699,38.0,0.093,pm25,59,unhealthy 4 sensitive
96,11.5,0.0,2012-02-02T00:00:00,0.0,2012,99,0.0259999968111515,35.0,0.065,pm25,97,moderate
96,11.5,1.5,2012-12-23T00:00:00,0.0,2012,35,0.0379999987781048,7.0,0.024,ozone,50,good
96,11.5,0.0,2012-01-30T00:00:00,0.0,2012,158,0.0299999974668026,70.0,0.054,pm25,157,unhealthy
95,11.5,0.0,2012-02-14T00:00:00,0.0,2012,102,0.0319999977946281,36.0,0.044,pm25,66,unhealthy 4 sensitive
95,12.0,0.0,2012-12-16T00:00:00,0.75,2012,117,0.0389999970793724,42.0,0.048,pm25,59,unhealthy 4 sensitive
93,12.0,0.0,2012-03-11T00:00:00,0.0,2012,53,0.0469999983906746,13.0,0.011,pm25,74,moderate
93,12.0,0.0,2012-03-04T00:00:00,0.0,2012,87,0.0549999997019768,29.0,0.058,pm25,76,moderate
96,12.0,0.0,2012-01-29T00:00:00,0.0,2012,134,0.0369999967515469,49.0,0.064,pm25,158,unhealthy 4 sensitive
91,12.5,0.0,2012-03-20T00:00:00,0.25,2012,78,0.0549999997019768,25.0,0.034,pm25,66,moderate
83,13.0,0.0,2012-03-14T00:00:00,0.0,2012,43,0.0459999963641167,10.0,0.009,ozone,59,good
84,13.5,1.5,2012-03-27T00:00:00,0.25,2012,66,0.0509999990463257,19.0,0.017,pm25,47,moderate
93,13.5,1.5,2012-03-17T00:00:00,0.0,2012,48,0.0519999973475933,7.0,0.004,ozone,44,good
91,14.0,0.0,2012-04-06T00:00:00,0.25,2012,47,0.0509999990463257,11.0,0.044,ozone,90,good
93,14.0,0.0,2012-11-28T00:00:00,0.75,2012,25,0.0269999988377094,5.0,0.026,ozone,50,good
96,14.0,0.0,2012-12-11T00:00:00,0.75,2012,134,0.0379999987781048,49.0,0.059,pm25,137,unhealthy 4 sensitive
88,14.5,0.0,2012-04-17T00:00:00,0.25,2012,77,0.062999963760376,18.0,0.021,ozone,67,moderate
96,14.5,0.0,2012-11-26T00:00:00,0.75,2012,161,0.0499999970197678,74.0,0.123,pm25,160,unhealthy
94,14.5,0.0,2012-03-25T00:00:00,0.25,2012,54,0.0559999980032444,9.0,0.011,ozone,63,moderate
81,15.0,4.6,2012-04-04T00:00:00,0.25,2012,53,0.0509999990463257,13.0,0.006,pm25,45,moderate
94,15.0,0.0,2012-11-12T00:00:00,0.75,2012,119,0.0369999967515469,43.0,0.088,pm25,112,unhealthy 4 sensitive
96,15.5,0.0,2012-11-20T00:00:00,0.75,2012,91,0.0399999991059303,31.0,0.112,pm25,80,moderate
95,15.5,0.0,2012-12-03T00:00:00,0.75,2012,68,0.0299999974668026,20.0,0.031,pm25,87,moderate
96,18.0,0.0,2012-11-03T00:00:00,0.75,2012,102,0.0459999963641167,36.0,0.061,pm25,115,unhealthy 4 sensitive
95,18.0,0.0,2012-11-04T00:00:00,0.75,2012,115,0.0539999976754189,41.0,0.052,pm25,115,unhealthy 4 sensitive
81,21.0,0.0,2012-10-21T00:00:00,0.75,2012,59,0.0559999980032444,16.0,0.017,pm25,50,moderate
66,23.0,1.5,2012-06-13T00:00:00,0.25,2012,87,0.0659999847412109,17.0,0.01,ozone,132,moderate
82,23.0,0.0,2012-07-02T00:00:00,1.0,2012,64,0.0589999966323376,17.0,0.012,ozone,97,moderate
55,25.0,0.0,2012-06-19T00:00:00,0.25,2012,115,0.074999988079071,16.0,0.015,ozone,201,unhealthy 4 sensitive
70,25.0,0.0,2012-07-24T00:00:00,1.0,2012,118,0.0759999752044678,25.0,0.029,ozone,201,unhealthy 4 sensitive
74,26.0,0.0,2012-08-18T00:00:00,1.0,2012,146,0.0839999914169312,21.0,0.019,ozone,87,unhealthy 4 sensitive
78,26.0,0.0,2012-09-15T00:00:00,1.0,2012,102,0.113999962806702,36.0,0.027,pm25,201,unhealthy 4 sensitive
88,26.0,0.0,2012-09-14T00:00:00,1.0,2012,93,0.113999962806702,32.0,0.035,pm25,102,moderate
56,26.0,0.0,2012-08-19T00:00:00,1.0,2012,87,0.0659999847412109,11.0,0.01,ozone,108,moderate
92,18.5,0.0,2012-10-24T00:00:00,0.75,2012,46,0.0399999991059303,11.0,0.049,pm25,63,good
92,18.5,0.0,2012-10-29T00:00:00,0.75,2012,112,0.0669999718666077,40.0,0.082,pm25,118,unhealthy 4 sensitive
92,20.5,0.0,2012-10-14T00:00:00,0.75,2012,80,0.061999998986721,26.0,0.045,pm25,154,moderate
92,21.5,0.0,2012-10-17T00:00:00,0.75,2012,142,0.0799999833106995,52.0,0.047,pm25,125,unhealthy 4 sensitive
89,21.5,0.0,2012-10-16T00:00:00,0.75,2012,137,0.0739999413490295,50.0,0.06,pm25,142,unhealthy 4 sensitive
83,21.5,0.0,2012-10-10T00:00:00,0.75,2012,74,0.0499999970197678,23.0,0.045,pm25,78,moderate
65,22.5,0.0,2012-06-29T00:00:00,1.0,2012,71,0.0609999969601631,17.0,0.008,ozone,59,moderate
88,23.5,0.0,2012-09-27T00:00:00,0.75,2012,119,0.10999995470047,43.0,0.058,pm25,201,unhealthy 4 sensitive
79,23.5,0.0,2012-09-26T00:00:00,0.75,2012,201,0.0969999432563782,22.0,0.029,ozone,119,very unhealthy
85,23.5,0.0,2012-09-28T00:00:00,0.75,2012,201,0.093999981880188,47.0,0.045,ozone,201,very unhealthy
